Game Id;PlayerId;TeamId;Game Rating;SA;GA;SV;SV%;TOI;PIM
6142;967;25;53;27;4;23;.852;3565500;0
6142;1234;25;0;0;0;0;.00nan;0;0
5311;396;12;30;14;4;10;.714;1182900;0
5311;808;12;43;21;4;17;.810;2417100;0
5311;967;25;94;18;0;18;1.000;3600000;0
5311;1234;25;0;0;0;0;.00nan;0;0
5219;745;15;0;0;0;0;.00nan;0;0
5219;890;15;75;37;4;33;.892;3541100;0
5219;963;26;100;44;2;42;.955;3600000;0
5219;1129;26;0;0;0;0;.00nan;0;0
5222;108;1;0;0;0;0;.00nan;0;0
5222;127;16;0;0;0;0;.00nan;0;0
5222;983;16;81;32;3;29;.906;3600000;0
5222;1388;1;100;29;0;29;1.000;3600000;0
5227;780;3;0;0;0;0;.00nan;0;0
5227;951;8;77;40;4;36;.900;3593300;0
5227;1238;3;84;30;2;28;.933;3600000;0
5227;1665;8;0;0;0;0;.00nan;0;0
5207;72;0;0;0;0;0;.00nan;0;0
5207;385;10;53;3;0;3;1.000;297400;0
5207;1001;10;43;26;5;21;.808;3266150;0
5207;2135;0;78;31;3;28;.903;3600000;0
5247;383;19;59;24;3;21;.875;3439550;0
5247;774;20;66;14;1;13;.929;3600000;0
5247;869;20;0;0;0;0;.00nan;0;0
5247;911;19;30;8;3;5;.625;160450;0
5251;274;18;77;44;4;40;.909;3900000;0
5251;748;18;0;0;0;0;.00nan;0;0
5251;801;9;0;0;0;0;.00nan;0;0
5251;999;9;61;30;4;26;.867;3900000;0
5201;6;31;12;22;7;15;.682;2222200;0
5201;388;6;81;28;2;26;.929;3600000;0
5201;668;31;68;11;0;11;1.000;1377800;0
5201;732;6;0;0;0;0;.00nan;0;0
5206;106;17;0;0;0;0;.00nan;0;0
5206;695;17;77;20;1;19;.950;3600000;0
5206;978;7;44;34;6;28;.824;3293400;0
5206;1230;7;26;6;3;3;.500;306600;0
5202;388;6;57;31;5;26;.839;3529550;0
5202;408;29;71;32;4;28;.875;3600000;0
5202;732;6;0;0;0;0;.00nan;0;0
5202;1231;29;0;0;0;0;.00nan;0;0
5375;745;15;0;0;0;0;.00nan;0;0
5375;890;15;73;31;3;28;.903;3581000;0
5375;951;8;100;34;1;33;.971;3600000;0
5375;1665;8;0;0;0;0;.00nan;0;0
5314;108;1;0;0;0;0;.00nan;0;0
5314;274;18;0;0;0;0;.00nan;0;0
5314;748;18;57;28;4;24;.857;3600000;0
5314;1388;1;88;35;3;32;.914;3600000;0
5191;220;21;0;0;0;0;.00nan;0;0
5191;734;22;44;34;6;28;.824;2425600;0
5191;1207;21;63;23;3;20;.870;3600000;0
5191;1223;22;41;7;2;5;.714;1174400;0
5233;780;3;0;0;0;0;.00nan;0;0
5233;967;25;52;32;5;27;.844;3600000;0
5233;1234;25;0;0;0;0;.00nan;0;0
