PlayerId;Year;Team Id;League Id;GP;GS;Min;W;L;T/OL;ENG;SO;GA;SA;GR
1251;2024;33;1;10;9;34400;5;3;1;0;0;22;327;76
1333;2024;58;1;10;10;34930;6;3;1;0;1;21;308;80
1364;2024;47;1;5;5;17421;3;2;0;0;0;15;149;68
1388;2024;1;0;17;17;60198;11;5;1;2;2;49;525;75
1461;2024;39;1;9;9;32351;6;2;1;0;1;25;270;68
1534;2024;63;1;11;9;32601;5;3;1;0;0;27;323;72
1665;2024;8;0;9;7;27538;3;4;1;1;1;31;284;70
1687;2024;42;1;8;8;25540;4;4;0;0;1;21;223;67
1693;2024;56;1;8;8;28896;5;3;0;0;1;21;233;70
1729;2024;43;1;9;8;29167;2;5;1;1;1;22;232;72
1747;2024;45;1;5;5;15072;2;3;0;0;0;19;139;52
1748;2024;57;1;2;2;7223;0;1;1;1;0;7;54;61
2026;2024;50;1;9;9;31069;5;4;0;1;0;25;249;64
2031;2024;33;1;4;4;12922;2;2;0;0;0;16;105;48
2052;2024;62;1;6;6;22124;3;1;2;0;0;15;184;73
2076;2024;55;1;7;6;23147;4;2;0;1;0;21;206;67
2117;2024;39;1;7;7;25341;4;1;2;0;1;15;195;71
2135;2024;0;0;3;3;9375;1;2;0;0;0;13;97;62
2157;2024;33;1;1;1;3600;0;1;0;0;0;6;31;40
2176;2024;35;1;5;5;17961;2;3;0;0;0;18;134;54
2179;2024;42;1;10;9;35536;4;5;0;0;1;29;322;69
2204;2024;45;1;2;2;7143;1;1;0;1;0;7;59;64
2211;2024;59;1;8;6;21887;3;2;1;0;1;24;201;60
2231;2024;37;1;5;4;15739;4;0;0;0;0;7;113;75
2232;2024;56;1;6;6;22152;4;1;1;1;0;15;197;78
2247;2024;47;1;9;6;25309;3;1;2;0;1;21;255;73
2248;2024;39;1;3;2;8482;1;1;0;0;1;6;76;67
2249;2024;34;1;6;5;18389;2;3;0;0;0;14;136;65
2268;2024;51;1;2;2;4544;1;1;0;0;1;4;24;54
2279;2024;44;1;2;1;5618;0;1;0;0;0;11;49;36
2281;2024;46;1;6;6;21583;5;1;0;0;0;14;176;75
2296;2024;40;1;6;6;22156;3;1;2;1;3;10;192;88
2360;2024;37;1;5;5;17201;1;2;2;0;0;14;161;74
2367;2024;36;1;7;6;24308;4;2;0;0;1;14;188;72
2374;2024;62;1;10;10;36300;7;2;1;0;2;22;268;71
2377;2024;50;1;6;5;19411;0;4;1;0;0;20;201;68
2398;2024;43;1;1;1;3549;0;1;0;1;0;7;41;46
2426;2024;46;1;5;5;18165;3;1;1;0;1;12;122;68
2427;2024;32;1;5;3;10295;1;2;0;0;0;12;85;51
2443;2024;38;1;7;7;25099;3;4;0;0;1;26;224;66
2476;2024;67;3;14;14;47987;9;4;1;1;1;38;425;71
2505;2024;76;3;9;7;28736;3;4;0;1;0;29;268;65
2510;2024;69;3;11;10;36366;6;3;1;2;0;30;307;67
2516;2024;71;3;15;13;47443;5;7;1;0;1;44;415;64
2522;2024;77;3;11;11;39940;5;5;1;2;2;33;358;72
2531;2024;68;3;4;3;12059;3;1;0;0;0;10;107;68
2532;2024;66;3;5;5;18164;0;4;1;1;0;19;162;61
2541;2024;65;3;17;17;61755;9;6;2;2;0;56;496;61
2593;2024;81;3;13;12;43660;8;4;0;1;0;32;340;66
2600;2024;81;3;7;7;25270;3;4;0;1;0;26;232;63
2616;2024;83;3;16;16;57827;9;6;1;1;0;46;530;73
2650;2024;73;3;8;5;20304;1;3;1;0;0;20;186;59
2655;2024;74;3;13;13;45630;8;5;0;1;1;38;337;61
2672;2024;79;3;9;7;28407;6;1;0;1;0;19;213;68
2692;2024;68;3;15;15;54172;8;4;2;1;1;39;472;74
2708;2024;74;3;7;6;22637;4;2;0;0;0;17;152;61
2710;2024;66;3;11;11;40142;7;2;2;1;1;27;327;70
2741;2024;73;3;13;13;45718;5;7;1;0;0;53;465;64
2752;2024;77;3;4;4;14730;4;0;0;0;0;9;102;67
2758;2024;67;3;6;4;17013;1;3;0;1;0;16;147;63
2760;2024;82;3;8;8;28045;1;5;2;1;0;32;270;62
2771;2024;82;3;10;9;34224;4;5;0;0;0;33;323;70
2773;2024;75;3;17;16;58645;9;6;1;2;3;47;526;73
2794;2024;64;3;8;8;28646;5;3;0;1;0;18;245;71
2812;2024;65;3;3;3;10800;1;2;0;0;0;10;83;57
2818;2024;80;3;11;11;40134;7;4;0;0;1;33;310;65
2845;2024;69;3;8;8;28675;7;1;0;0;0;23;235;65
2864;2024;76;3;13;13;43357;6;7;0;0;0;52;389;57
2883;2024;78;3;5;4;14706;3;1;0;0;0;6;120;73
2922;2024;64;3;9;9;32248;3;6;0;1;0;28;261;66
2960;2024;78;3;16;16;58018;6;7;3;3;0;53;459;62
2962;2024;80;3;8;8;28927;3;4;1;0;0;27;247;66
2967;2024;83;3;4;4;14700;3;1;0;0;0;13;124;64
2968;2024;71;3;6;4;13780;1;3;0;1;0;22;112;41
2991;2024;96;2;14;14;50318;7;5;1;1;1;44;386;63
3006;2024;103;2;18;16;53482;5;9;1;0;0;59;509;61
3013;2024;85;3;9;9;32811;4;4;1;0;0;28;275;68
3022;2024;88;2;9;8;29459;5;3;0;1;0;30;270;64
3029;2024;98;2;14;14;48124;8;6;0;1;1;47;439;66
3034;2024;104;2;8;8;28808;6;1;1;0;1;20;289;79
3043;2024;102;2;14;13;45463;9;1;2;1;0;46;435;66
3104;2024;94;2;15;15;53937;12;3;0;2;0;34;366;65
3111;2024;90;2;10;8;29415;0;7;1;1;0;38;257;49
3136;2024;88;2;14;14;50358;10;4;0;2;0;42;427;70
3141;2024;105;2;14;14;49860;4;8;2;2;0;57;455;59
3147;2024;87;2;19;16;59143;5;7;2;0;1;70;648;64
3159;2024;97;2;12;12;41088;6;5;1;1;0;49;362;54
