PlayerId;Year;Team Id;League Id;GP;GS;Min;W;L;T/OL;ENG;SO;GA;SA;GR
1333;2024;58;1;1;1;3600;1;0;0;0;1;0;27;100
1362;2024;16;9999;5;0;6676;1;1;0;0;0;27;29;8
1362;2024;16;0;4;4;14400;2;2;0;0;0;17;153;73
1364;2024;47;1;1;1;3804;0;0;1;0;0;4;32;66
1388;2024;1;9999;5;5;10306;1;1;0;0;0;42;44;3
1388;2024;1;0;4;4;14376;3;1;0;1;1;12;135;78
1435;2024;1;9999;5;0;7929;1;1;1;0;0;36;37;1
1462;2024;4;9999;4;0;4945;0;1;0;0;0;27;28;2
1534;2024;63;1;0;0;0;0;0;0;0;0;0;0;0
1578;2024;26;9999;5;0;9456;2;0;0;0;0;36;39;5
1665;2024;8;9999;5;5;9926;2;2;0;1;0;44;50;1
1665;2024;8;0;6;3;15771;2;1;0;1;0;16;181;72
1687;2024;4;9999;5;5;13015;3;1;0;0;0;41;46;1
1687;2024;4;0;3;3;10791;2;1;0;0;0;8;78;68
1693;2024;20;9999;5;0;11694;1;1;0;0;0;37;43;2
1693;2024;20;0;4;4;14700;3;0;1;0;1;9;135;87
1729;2024;17;9999;5;0;10804;3;1;0;0;0;31;33;1
1748;2024;57;1;0;0;0;0;0;0;0;0;0;0;0
1748;2024;12;9999;5;5;9748;1;2;1;0;0;41;47;1
1758;2024;29;9999;5;0;10137;1;2;0;0;0;41;43;1
1773;2024;18;9999;5;0;5689;0;0;0;0;0;26;29;9
1923;2024;21;9999;5;0;9014;1;1;0;0;0;35;38;8
1948;2024;9;9999;5;0;7986;2;0;0;0;0;22;24;15
2007;2024;7;9999;5;0;7837;2;1;0;0;0;33;36;3
2013;2024;19;9999;5;0;7060;2;1;0;0;0;32;33;5
2026;2024;25;9999;5;0;7368;0;4;0;1;0;36;41;1
2026;2024;25;0;4;4;14354;2;2;0;1;0;16;131;67
2031;2024;26;0;5;2;8542;0;2;0;0;0;14;86;50
2031;2024;26;9999;5;5;8785;1;1;1;1;0;37;43;6
2052;2024;19;9999;5;5;10939;0;2;0;0;0;37;38;1
2052;2024;19;0;4;3;12721;0;2;1;1;0;19;169;70
2076;2024;55;1;0;0;0;0;0;0;0;0;0;0;0
2076;2024;9;9999;5;5;10013;3;0;0;0;0;36;41;4
2097;2024;18;9999;5;5;12342;3;1;1;0;0;46;51;1
2099;2024;11;9999;4;0;3879;0;0;0;0;0;22;25;9
2117;2024;27;9999;5;5;11572;2;2;0;1;0;40;45;1
2135;2024;0;9999;5;5;9710;0;0;0;0;0;48;50;1
2142;2024;0;9999;5;0;8889;2;3;0;0;0;39;41;2
2142;2024;0;0;3;2;8830;1;1;0;0;0;14;86;53
2157;2024;33;1;0;0;0;0;0;0;0;0;0;0;0
2176;2024;35;1;0;0;0;0;0;0;0;0;0;0;0
2179;2024;42;1;0;0;0;0;0;0;0;0;0;0;0
2204;2024;45;1;1;1;3566;0;1;0;1;0;6;44;62
2211;2024;59;1;0;0;0;0;0;0;0;0;0;0;0
2231;2024;37;1;0;0;0;0;0;0;0;0;0;0;0
2232;2024;56;1;0;0;0;0;0;0;0;0;0;0;0
2247;2024;47;1;0;0;0;0;0;0;0;0;0;0;0
2248;2024;39;1;0;0;0;0;0;0;0;0;0;0;0
2249;2024;34;1;0;0;0;0;0;0;0;0;0;0;0
2268;2024;51;1;0;0;0;0;0;0;0;0;0;0;0
2279;2024;44;1;0;0;0;0;0;0;0;0;0;0;0
2281;2024;46;1;1;1;3600;1;0;0;0;0;2;40;98
2296;2024;40;1;1;1;3600;1;0;0;0;0;1;34;100
2360;2024;37;1;1;1;3600;1;0;0;0;1;0;17;90
2367;2024;36;1;0;0;0;0;0;0;0;0;0;0;0
2374;2024;62;1;1;1;3600;0;1;0;0;0;3;46;89
2377;2024;50;1;0;0;0;0;0;0;0;0;0;0;0
2398;2024;43;1;0;0;0;0;0;0;0;0;0;0;0
2398;2024;17;9999;5;5;7430;0;0;1;0;0;35;35;1
2426;2024;46;1;0;0;0;0;0;0;0;0;0;0;0
2427;2024;32;1;1;1;835;0;1;0;0;0;5;12;16
2427;2024;22;9999;5;0;10120;1;1;0;0;0;37;42;5
2443;2024;38;1;0;0;0;0;0;0;0;0;0;0;0
2476;2024;67;3;5;4;15641;2;2;0;0;0;19;110;48
2505;2024;76;3;4;3;10964;0;3;0;1;0;10;108;70
2510;2024;69;3;5;4;14625;2;2;0;1;0;13;125;65
2516;2024;71;3;4;4;14849;3;1;0;0;0;14;129;72
2522;2024;77;3;4;4;14613;2;2;0;1;0;15;151;79
2531;2024;68;3;2;2;4610;1;1;0;0;0;7;32;39
2532;2024;66;3;3;2;9819;1;1;0;0;1;9;73;64
2541;2024;65;3;4;4;14342;1;3;0;1;0;17;133;62
2593;2024;81;3;4;4;14363;2;2;0;2;0;15;137;71
2598;2024;73;3;3;3;10741;1;2;0;0;0;10;99;76
2600;2024;81;3;3;3;10876;3;0;0;0;0;3;97;95
2616;2024;83;3;3;3;10800;3;0;0;0;0;11;114;74
2624;2024;69;3;3;2;6937;1;1;0;0;0;10;43;39
2650;2024;73;3;0;0;0;0;0;0;0;0;0;0;0
2655;2024;74;3;3;3;9581;0;3;0;1;0;13;71;45
2672;2024;79;3;4;4;14313;1;3;0;0;1;13;93;58
2692;2024;68;3;6;5;20506;4;1;0;1;1;12;154;76
2708;2024;74;3;5;4;15549;3;1;0;0;1;12;139;74
2710;2024;66;3;5;5;15341;2;2;1;0;1;16;115;61
2741;2024;73;3;4;4;14492;1;2;1;1;0;15;186;88
2752;2024;77;3;3;3;10959;2;1;0;0;0;11;93;70
2758;2024;79;3;3;3;10959;1;1;1;0;0;11;100;70
2760;2024;82;3;3;3;9932;0;3;0;1;0;15;107;61
2771;2024;82;3;5;4;15523;0;3;1;0;0;15;138;64
2773;2024;75;3;5;5;17949;2;3;0;0;1;16;128;63
2777;2024;80;3;4;4;14431;4;0;0;0;0;10;109;73
2794;2024;64;3;3;2;8542;2;0;0;0;0;6;87;78
2812;2024;65;3;3;3;10747;2;1;0;0;0;11;91;65
2818;2024;67;3;3;3;9558;0;3;0;0;0;17;110;53
2845;2024;69;3;1;1;3600;1;0;0;0;0;2;33;87
2864;2024;76;3;4;4;14007;1;3;0;1;0;17;133;64
2873;2024;72;3;1;1;3600;1;0;0;0;0;1;26;85
2883;2024;78;3;3;3;8366;0;2;1;0;0;13;98;58
2922;2024;64;3;5;5;16657;3;2;0;0;1;17;166;72
2960;2024;78;3;5;4;17203;1;2;1;0;0;17;134;60
2962;2024;80;3;3;3;10765;1;2;0;1;0;12;95;63
2967;2024;83;3;4;4;14400;2;2;0;0;0;14;141;75
2968;2024;71;3;3;3;10800;2;1;0;0;0;8;101;84
2987;2024;88;2;2;2;6748;0;1;1;0;0;12;75;53
2991;2024;96;2;4;4;12847;0;4;0;0;0;20;119;49
3006;2024;103;2;4;4;14327;2;2;0;2;0;15;146;74
3013;2024;85;3;4;4;14400;4;0;0;0;0;11;119;75
3022;2024;88;2;6;5;18896;1;3;1;0;0;22;174;60
3029;2024;98;2;3;3;10800;2;1;0;0;0;9;79;66
3034;2024;104;2;3;3;10800;1;2;0;0;0;15;109;60
3043;2024;102;2;4;4;14660;1;2;1;0;0;14;119;64
3104;2024;94;2;3;3;10800;3;0;0;0;0;5;90;87
3111;2024;90;2;4;2;8000;2;0;0;0;0;7;73;62
3120;2024;103;2;0;0;0;0;0;0;0;0;0;0;0
3136;2024;88;2;0;0;0;0;0;0;0;0;0;0;0
3136;2024;101;2;4;4;14680;2;2;0;0;0;16;117;60
3141;2024;105;2;5;4;15617;3;1;0;0;1;10;117;71
3147;2024;87;2;5;5;15186;1;4;0;1;1;19;133;55
3159;2024;97;2;4;3;10390;0;3;0;0;0;18;115;52
3173;2024;85;3;3;3;10734;2;1;0;0;1;5;78;79
3187;2024;84;3;3;3;10800;2;1;0;0;0;10;96;73
3193;2024;96;2;4;3;12581;2;1;0;0;0;11;127;77
3215;2024;101;2;3;3;11281;3;0;0;0;0;8;89;77
3217;2024;90;2;5;5;17669;1;3;1;0;0;23;151;52
3228;2024;92;2;4;3;11976;3;0;0;0;0;8;87;69
3229;2024;101;2;0;0;0;0;0;0;0;0;0;0;0
3233;2024;91;2;4;4;14400;3;1;0;0;0;11;115;73
3246;2024;86;2;3;3;10800;2;1;0;0;0;9;119;91
3266;2024;86;2;4;4;14374;2;1;1;0;0;15;130;70
