League Id;Date;Home;Score Home;Away;Score Away;Type;Played;Overtime;Shootout;Game Id
0;2024-9-22;26;3;1;8;Pre-Season;1;0;0;6190
0;2024-9-22;21;4;22;0;Pre-Season;1;0;0;6198
0;2024-9-22;7;5;25;1;Pre-Season;1;0;0;6196
0;2024-9-22;31;4;11;3;Pre-Season;1;1;1;6192
0;2024-9-22;17;2;19;1;Pre-Season;1;0;0;6194
0;2024-9-23;4;3;20;4;Pre-Season;1;0;0;6230
0;2024-9-23;12;6;8;0;Pre-Season;1;0;0;6232
0;2024-9-23;27;3;15;6;Pre-Season;1;0;0;6234
0;2024-9-23;26;4;7;5;Pre-Season;1;0;0;6228
0;2024-9-23;19;4;29;5;Pre-Season;1;1;0;6226
0;2024-9-23;21;4;18;1;Pre-Season;1;0;0;6218
0;2024-9-23;3;5;0;6;Pre-Season;1;0;0;6216
0;2024-9-23;1;11;31;2;Pre-Season;1;0;0;6220
0;2024-9-23;16;2;6;5;Pre-Season;1;0;0;6224
0;2024-9-23;22;4;17;3;Pre-Season;1;0;0;6222
0;2024-9-23;9;3;10;4;Pre-Season;1;0;0;6214
0;2024-9-23;25;5;11;4;Pre-Season;1;1;0;6236
0;2024-9-25;3;9;26;3;Pre-Season;1;0;0;6248
0;2024-9-25;10;3;25;6;Pre-Season;1;0;0;6250
0;2024-9-25;6;7;11;2;Pre-Season;1;0;0;6246
0;2024-9-25;1;5;4;3;Pre-Season;1;0;0;6240
0;2024-9-25;17;4;27;3;Pre-Season;1;1;0;6242
0;2024-9-25;18;3;31;2;Pre-Season;1;1;1;6244
0;2024-9-25;22;4;19;3;Pre-Season;1;0;0;6252
0;2024-9-25;29;5;9;3;Pre-Season;1;0;0;6260
0;2024-9-25;0;5;16;9;Pre-Season;1;0;0;6258
0;2024-9-25;8;8;15;10;Pre-Season;1;0;0;6238
0;2024-9-25;20;7;21;2;Pre-Season;1;0;0;6256
0;2024-9-25;7;4;12;1;Pre-Season;1;0;0;6254
0;2024-9-26;16;2;18;4;Pre-Season;1;0;0;6278
0;2024-9-26;29;1;8;5;Pre-Season;1;0;0;6280
0;2024-9-26;20;3;0;0;Pre-Season;1;0;0;6282
0;2024-9-26;12;4;1;1;Pre-Season;1;0;0;6284
0;2024-9-26;9;4;10;5;Pre-Season;1;1;0;6276
0;2024-9-26;19;4;6;7;Pre-Season;1;0;0;6262
0;2024-9-26;27;3;17;1;Pre-Season;1;0;0;6264
0;2024-9-26;4;3;31;1;Pre-Season;1;0;0;6274
0;2024-9-26;21;5;22;3;Pre-Season;1;0;0;6266
0;2024-9-26;15;2;25;6;Pre-Season;1;0;0;6270
0;2024-9-26;11;0;3;2;Pre-Season;1;0;0;6272
0;2024-9-26;26;2;7;5;Pre-Season;1;0;0;6268
0;2024-9-28;17;6;4;4;Pre-Season;1;0;0;6308
0;2024-9-28;0;6;31;3;Pre-Season;1;0;0;6298
0;2024-9-28;8;5;27;4;Pre-Season;1;0;0;6296
0;2024-9-28;1;5;29;7;Pre-Season;1;0;0;6300
0;2024-9-28;21;2;20;4;Pre-Season;1;0;0;6306
0;2024-9-28;7;2;19;1;Pre-Season;1;0;0;6304
0;2024-9-28;15;6;9;3;Pre-Season;1;0;0;6302
0;2024-9-28;22;3;6;5;Pre-Season;1;0;0;6286
0;2024-9-28;3;4;26;5;Pre-Season;1;0;0;6288
0;2024-9-28;10;6;11;3;Pre-Season;1;0;0;6294
0;2024-9-28;12;5;16;1;Pre-Season;1;0;0;6290
0;2024-9-28;18;3;25;4;Pre-Season;1;0;0;6292
0;2024-9-29;6;5;17;4;Pre-Season;1;0;0;6326
0;2024-9-29;16;4;20;1;Pre-Season;1;0;0;6328
0;2024-9-29;19;4;11;9;Pre-Season;1;0;0;6330
0;2024-9-29;26;3;4;6;Pre-Season;1;0;0;6332
0;2024-9-29;31;2;29;3;Pre-Season;1;1;0;6324
