PlayerId;TeamId;FranchiseId;Games Played;Games Started;Minutes Played;Wins;Losses;OT;Shots Against;Saves;Goals Against;Goals Against Average;Shutouts;Save Percentage;Game Rating
2883;78;78;3;3;139;0;2;1;98;85;13;5.59;0;.867;58
2922;64;64;5;5;277;3;2;0;166;149;17;3.67;1;.898;72
2960;78;78;5;4;286;1;2;1;134;117;17;3.56;0;.873;60
2962;80;80;3;3;179;1;2;0;95;83;12;4.01;0;.874;63
2967;83;83;4;4;240;2;2;0;141;127;14;3.50;0;.901;75
2968;71;71;3;3;180;2;1;0;101;93;8;2.67;0;.921;84
2987;88;88;2;2;112;0;1;1;75;63;12;6.40;0;.840;53
2991;96;96;4;4;214;0;4;0;119;99;20;5.60;0;.832;49
3006;103;103;4;4;238;2;2;0;146;131;15;3.77;0;.897;74
3013;85;85;4;4;240;4;0;0;119;108;11;2.75;0;.908;75
3022;88;88;6;5;314;1;3;1;174;152;22;4.19;0;.874;60
3029;98;98;3;3;180;2;1;0;79;70;9;3.00;0;.886;66
3034;104;104;3;3;180;1;2;0;109;94;15;5.00;0;.862;60
3043;102;102;4;4;244;1;2;1;119;105;14;3.44;0;.882;64
3104;94;94;3;3;180;3;0;0;90;85;5;1.67;0;.944;87
3111;90;90;4;2;133;2;0;0;73;66;7;3.15;0;.904;62
3136;88;88;4;4;244;2;2;0;117;101;16;3.92;0;.863;60
3141;105;105;5;4;260;3;1;0;117;107;10;2.31;1;.915;71
3147;87;87;5;5;253;1;4;0;133;114;19;4.50;1;.857;55
3159;97;97;4;3;173;0;3;0;115;97;18;6.24;0;.843;52
3173;85;85;3;3;178;2;1;0;78;73;5;1.68;1;.936;79
3187;84;84;3;3;180;2;1;0;96;86;10;3.33;0;.896;73
3193;91;91;4;3;209;2;1;0;127;116;11;3.15;0;.913;77
3215;91;91;3;3;188;3;0;0;89;81;8;2.55;0;.910;77
3217;90;90;5;5;294;1;3;1;151;128;23;4.69;0;.848;52
3228;92;92;4;3;199;3;0;0;87;79;8;2.40;0;.908;69
3233;96;96;4;4;240;3;1;0;115;104;11;2.75;0;.904;73
3246;96;96;3;3;180;2;1;0;119;110;9;3.00;0;.924;91
3266;86;86;4;4;239;2;1;1;130;115;15;3.76;0;.885;70
3270;93;93;5;5;252;2;3;0;154;137;17;4.05;0;.890;64
3272;104;104;4;4;241;1;2;1;128;113;15;3.73;0;.883;66
3273;95;95;3;3;164;1;2;0;95;81;14;5.10;0;.853;56
3299;87;87;3;2;166;2;0;0;89;80;9;3.25;0;.899;72
3316;95;95;5;4;265;3;0;1;112;107;5;1.13;0;.955;76
3323;97;97;5;4;251;0;3;1;159;137;22;5.25;0;.862;56
3348;84;84;4;4;244;3;1;0;133;122;11;2.70;0;.917;83
3360;100;100;5;4;218;3;1;0;111;101;10;2.75;0;.910;70
3394;93;93;3;2;167;2;0;0;77;66;11;3.95;0;.857;56
3410;99;99;5;4;290;2;2;0;165;145;20;4.13;0;.879;67
3417;89;89;3;3;177;1;2;0;117;108;9;3.04;0;.923;81
3429;92;92;4;4;225;4;0;0;96;86;10;2.66;1;.896;69
3435;102;102;3;3;185;3;0;0;108;101;7;2.27;0;.935;89
3440;103;103;3;3;184;2;0;1;75;69;6;1.95;1;.920;77
3472;98;98;4;4;246;0;2;2;128;114;14;3.40;0;.891;69
3512;116;116;4;4;237;0;4;0;132;116;16;4.04;0;.879;65
3513;108;108;4;4;238;0;4;0;146;129;17;4.28;0;.884;66
3514;123;123;4;4;240;3;1;0;120;107;13;3.25;0;.892;68
3530;107;107;3;3;180;2;1;0;85;80;5;1.67;1;.941;79
3537;122;122;4;4;238;2;2;0;157;142;15;3.77;0;.904;78
