PlayerId;Year;Team Id;League Id;GP;G;A;PIM;+/-;PP G;PP A;SH G;SH A;GR;GWG;SOG;FO;FO W;HIT;GvA;TkA;SB;TOI;PPTOI;SHTOI;Fights;Fights Won
80;2024;27;0;3;0;0;0;-2;0;0;0;0;55;0;5;1;0;0;0;2;0;1696;0;157;0;0
85;2024;9;0;7;0;5;2;-3;0;4;0;0;64;0;12;1;1;10;3;4;3;5657;972;0;0;0
86;2024;31;0;6;0;1;0;-3;0;0;0;0;66;0;4;66;36;9;4;7;1;5108;160;591;0;0
88;2024;1;0;7;7;5;2;11;0;0;0;0;78;3;27;1;1;17;2;2;2;6752;317;0;0;0
89;2024;12;0;4;0;1;0;-1;0;0;0;0;62;0;6;0;0;5;2;3;2;2886;337;0;0;0
92;2024;9;9999;5;8;6;2;8;1;1;1;0;79;1;8;0;0;10;0;2;3;4721;429;291;0;0
94;2024;16;0;5;1;2;2;0;1;0;0;0;68;0;12;0;0;7;1;1;0;3433;609;0;0;0
96;2024;27;0;5;0;2;0;0;0;0;0;0;62;0;8;0;0;8;2;4;5;5236;122;897;0;0
97;2024;27;9999;5;5;10;6;5;0;1;0;0;76;0;5;5;2;22;1;0;5;4578;316;20;0;0
97;2024;27;0;2;1;0;0;0;0;0;0;0;59;0;4;1;0;1;1;1;1;1271;0;0;0;0
98;2024;0;0;6;0;7;4;1;0;3;0;0;62;0;16;2;1;13;3;7;3;6766;825;719;0;0
99;2024;27;9999;5;4;7;0;-2;0;0;0;1;66;0;4;75;36;16;1;2;2;4717;221;569;0;0
99;2024;27;0;3;1;0;0;-1;1;0;0;0;63;0;3;18;10;3;0;1;0;1645;332;0;0;0
105;2024;27;9999;5;4;10;0;2;0;0;1;0;74;0;4;0;0;25;0;5;3;4746;49;111;0;0
105;2024;27;0;3;0;1;0;-4;0;0;0;0;67;0;3;0;0;7;4;1;1;2297;469;0;0;0
109;2024;0;0;4;1;2;4;-1;0;1;0;0;65;0;5;51;29;6;3;3;0;3460;763;8;0;0
112;2024;20;0;5;2;2;9;3;0;0;0;0;65;1;11;59;29;3;3;0;2;4435;619;78;1;0
114;2024;57;1;1;0;0;2;0;0;0;0;0;71;0;3;0;0;1;0;1;1;793;202;0;0;0
115;2024;11;0;6;5;4;0;-2;2;0;0;0;70;0;18;3;0;7;7;0;2;5138;774;22;0;0
116;2024;1;9999;5;5;4;0;5;2;0;0;0;69;0;5;5;3;8;3;3;0;2060;131;0;0;0
116;2024;1;0;2;1;0;0;-2;0;0;0;0;52;0;2;1;1;2;1;0;0;625;0;0;0;0
117;2024;8;0;7;1;3;2;8;0;0;0;0;64;0;11;0;0;10;4;9;6;8222;58;562;0;0
118;2024;9;0;7;0;2;5;2;0;0;0;0;57;0;7;37;26;4;4;1;3;3154;0;914;1;0
119;2024;7;0;6;3;2;4;5;0;1;0;0;72;0;18;67;38;7;7;3;2;5754;1322;487;0;0
120;2024;3;9999;5;2;5;0;-12;0;1;0;0;68;0;2;0;0;11;0;3;0;2863;244;71;0;0
123;2024;10;0;7;1;1;4;7;0;0;0;0;69;0;11;0;0;8;1;7;15;7385;174;542;0;0
125;2024;10;0;6;2;3;0;5;0;0;0;0;62;0;11;53;32;1;4;2;1;4817;1087;1;0;0
126;2024;51;1;1;0;0;0;-2;0;0;0;0;67;0;5;0;0;4;0;0;2;745;545;62;0;0
133;2024;16;9999;5;3;1;0;2;0;0;0;0;45;1;3;0;0;8;0;3;12;4669;20;602;0;0
133;2024;16;0;2;0;1;2;1;0;0;0;0;52;0;3;0;0;1;1;1;2;2155;0;7;0;0
134;2024;19;0;5;0;1;0;0;0;0;0;0;66;0;8;0;0;8;0;1;1;3572;130;52;0;0
135;2024;27;0;5;3;3;2;2;0;0;0;0;63;0;15;6;3;10;1;2;0;4487;128;515;0;0
139;2024;16;0;6;1;0;2;-2;0;0;0;0;63;0;5;63;36;9;1;5;3;5288;143;1088;0;0
140;2024;26;0;5;0;0;2;-1;0;0;0;0;57;0;6;0;0;6;0;2;6;5091;261;570;0;0
141;2024;4;0;7;0;3;2;0;0;1;0;0;54;0;18;0;0;4;3;6;2;7847;466;365;0;0
143;2024;6;0;7;1;6;0;3;0;3;0;0;55;0;22;0;0;4;1;5;5;8286;774;347;0;0
144;2024;19;0;5;0;1;6;-3;0;0;0;0;65;0;8;8;4;7;5;2;2;4518;1176;3;0;0
145;2024;8;0;7;1;1;2;-9;0;0;0;0;55;0;16;0;0;7;6;5;13;7742;282;642;0;0
147;2024;17;0;7;0;4;0;-1;0;0;0;0;66;0;11;22;12;15;4;8;4;6280;74;582;0;0
150;2024;19;0;5;0;0;0;-5;0;0;0;0;49;0;6;6;3;6;4;2;2;4432;0;221;0;0
151;2024;12;0;3;0;1;0;1;0;0;0;0;73;0;4;0;0;4;1;1;10;3013;206;260;0;0
152;2024;12;0;6;0;2;2;0;0;0;0;0;61;0;15;34;15;4;3;3;2;5345;1010;0;0;0
156;2024;29;0;7;4;5;0;-1;3;2;0;0;68;0;13;89;57;6;5;6;1;6587;1025;57;0;0
158;2024;62;1;1;0;0;0;-1;0;0;0;0;57;0;0;0;0;1;1;0;1;912;18;82;0;0
159;2024;9;0;7;4;1;5;-1;0;0;0;0;58;0;19;0;0;8;5;4;4;6468;209;0;1;0
161;2024;19;0;3;1;0;0;2;0;0;0;0;62;0;2;6;4;1;0;1;1;1914;27;103;0;0
161;2024;19;9999;5;3;7;2;-1;1;0;0;0;52;0;3;42;23;7;0;2;0;3171;15;80;0;0
163;2024;11;0;5;0;2;2;-4;0;0;0;0;53;0;3;27;15;3;3;4;1;3636;0;277;0;0
164;2024;1;0;3;2;4;2;4;0;0;0;0;80;0;6;1;0;9;1;0;0;2723;106;42;0;0
164;2024;1;9999;5;2;9;19;-2;0;0;0;0;56;0;5;1;0;18;2;3;3;4010;58;16;1;0
170;2024;12;0;3;0;0;0;-4;0;0;0;0;57;0;5;0;0;3;1;5;7;2883;334;291;0;0
174;2024;20;0;5;0;1;6;2;0;0;0;0;69;0;10;0;0;6;0;6;12;6094;30;337;0;0
176;2024;38;1;1;0;0;4;0;0;0;0;0;67;0;2;0;0;2;0;2;2;935;28;414;0;0
178;2024;0;0;1;0;0;0;0;0;0;0;0;55;0;0;1;1;0;0;0;1;537;0;0;0;0
181;2024;19;9999;5;3;8;2;-9;0;5;0;0;61;0;3;72;41;8;0;2;1;4840;390;103;0;0
181;2024;19;0;4;2;4;0;4;0;0;0;0;57;0;2;34;21;1;3;1;1;2696;0;0;0;0
183;2024;27;0;4;0;0;0;-4;0;0;0;0;62;0;11;0;0;6;0;5;4;4530;196;191;0;0
197;2024;3;9999;5;2;7;2;-5;0;0;0;0;69;0;2;0;0;21;1;4;2;3688;198;0;0;0
198;2024;9;9999;5;5;10;2;-2;0;2;0;0;50;0;5;0;0;4;0;2;3;4841;623;215;0;0
203;2024;12;0;6;1;0;16;-3;0;0;0;0;64;0;12;3;0;11;3;2;2;5651;357;140;2;1
204;2024;19;0;4;2;2;2;-1;0;0;0;0;69;0;13;8;2;8;4;5;2;3450;355;310;0;0
205;2024;19;0;5;0;2;4;-7;0;0;0;0;50;0;4;2;0;12;3;2;3;4481;63;211;0;0
214;2024;26;0;4;0;2;2;-6;0;0;0;0;53;0;8;0;0;7;1;3;8;4355;179;472;0;0
215;2024;20;0;2;1;1;0;3;0;0;0;0;63;0;2;10;4;1;0;2;1;1173;0;15;0;0
216;2024;18;0;4;0;2;0;1;0;0;0;0;57;0;4;38;11;3;5;4;0;3252;46;177;0;0
217;2024;26;0;7;0;3;0;-6;0;0;0;0;55;0;10;0;0;15;3;5;5;8323;197;436;0;0
218;2024;25;0;3;1;1;6;-2;0;0;0;0;52;0;3;19;9;4;4;1;1;2472;70;27;0;0
221;2024;26;0;5;2;0;6;-1;0;0;0;0;60;0;2;41;15;1;3;4;3;3699;43;477;0;0
223;2024;22;0;7;1;4;4;3;1;1;0;0;65;0;15;0;0;13;3;9;5;8077;266;484;0;0
225;2024;26;0;7;4;4;2;-4;1;2;0;0;69;0;17;108;56;14;3;9;2;6562;843;216;0;0
226;2024;9;0;7;1;1;0;-1;0;0;0;0;61;0;9;21;13;7;5;1;4;4483;26;772;0;0
228;2024;18;0;1;0;0;0;1;0;0;0;0;69;0;1;0;0;0;0;0;2;975;31;135;0;0
233;2024;12;0;7;4;2;4;2;1;1;0;0;71;1;12;96;54;11;7;3;1;6514;1357;20;0;0
234;2024;12;0;5;0;0;2;-2;0;0;0;0;60;0;4;12;5;6;5;4;1;3571;771;10;0;0
236;2024;17;0;6;1;0;2;-5;0;0;0;0;62;0;17;0;0;11;4;5;15;6204;184;521;0;0
