Game Id;Period;Time;Scorer;Assist 1;Assist 2;TeamId;Note;SQ
5228;1;257;1385;1660;910;15;ES;3
5228;1;804;811;441;17;29;ES;4
5228;1;1200;445;;;29;ES;3
5228;2;977;871;;;15;ES;4
5228;3;45;1513;661;910;15;ES;2
5228;3;894;661;910;285;15;PP;3
5197;1;600;828;366;27;18;ES;1
5197;1;821;341;706;1626;18;ES;2
5197;1;899;373;633;613;18;ES;3
5197;1;1030;373;613;1025;18;ES;2
5197;2;185;341;594;613;18;PP;2
5197;2;349;666;597;1141;6;ES;3
5197;2;1166;27;706;448;18;ES;1
6121;1;412;1296;294;566;16;ES;2
6121;1;761;294;;;16;ES;2
6121;2;285;867;71;1213;16;PP;2
6121;2;796;294;832;1032;16;ES;2
6121;2;812;34;41;223;22;ES;4
6121;3;154;94;1583;883;16;ES;2
6121;3;314;139;1232;290;16;ES;2
6121;3;592;883;71;867;16;ES;2
5199;1;420;1018;;;0;ES;4
5199;1;699;1;258;96;27;ES;3
5199;1;1092;415;1018;1062;0;PP;3
5199;2;291;342;135;96;27;ES;2
5199;3;42;605;562;;27;PP;3
5199;3;678;1154;886;342;27;ES;1
5199;3;881;788;258;1154;27;ES;2
5255;1;301;752;225;217;26;ES;2
5255;1;318;786;752;140;26;ES;4
5255;1;616;822;920;140;26;ES;2
5255;2;472;54;1587;217;26;ES;2
5255;3;53;682;55;288;3;ES;1
5255;3;629;693;872;280;3;ES;3
5255;3;963;1174;55;1164;3;ES;4
5255;3;1015;221;822;217;26;ES;2
5209;2;151;1064;742;248;31;SH;4
5209;2;323;1064;1246;1346;31;ES;3
5209;2;910;1448;248;57;31;ES;3
5209;3;122;742;1246;540;31;PP;4
5209;3;483;689;244;123;10;SH;3
5209;3;616;907;611;1170;10;ES;2
5209;3;1070;1246;1695;8;31;ES;3
6125;1;838;1019;;;1;ES;2
6125;2;125;1019;888;1185;1;ES;4
6125;3;689;364;1214;47;1;ES;4
6125;3;1009;19;1042;240;17;ES;3
6125;3;1170;873;1214;888;1;ES, ENG;2
5261;1;312;425;174;730;20;ES;4
5261;1;483;53;845;974;20;ES;2
5261;1;674;845;53;112;20;ES;2
5261;1;907;730;425;414;20;ES;2
5261;2;14;112;53;845;20;ES;4
5261;2;114;174;1852;414;20;ES;1
5261;2;222;878;1514;115;11;PP;3
5261;2;770;901;827;974;20;ES;3
5261;2;1109;827;425;901;20;ES;3
5261;3;399;827;957;414;20;ES;2
5195;1;493;1283;358;;4;PP;1
5195;1;707;358;1093;987;4;ES;2
5195;2;311;987;1455;70;4;ES;3
5195;2;1072;727;656;141;4;ES;2
5195;2;1160;541;5;1455;4;ES;1
5190;1;359;302;445;964;29;ES;2
5190;2;736;346;345;203;12;SH;1
5190;2;1055;203;357;233;12;ES;3
5190;3;318;152;1584;1262;12;PP;3
5190;3;587;346;233;1309;12;ES;1
5190;3;692;964;811;816;29;ES;1
6142;1;150;726;894;802;25;ES;2
6142;1;1138;150;381;1224;19;ES;2
6142;2;91;1225;850;1192;19;ES;2
6142;2;217;134;1182;850;19;ES;2
6142;2;759;806;1182;;19;ES;2
6142;2;1068;287;1356;593;25;ES;1
6142;2;1134;26;998;726;25;ES;2
6142;3;1183;204;;;19;ES, ENG;3
5311;1;203;726;26;593;25;ES;3
5311;1;272;826;1356;1308;25;PP;3
5311;1;606;998;26;802;25;ES;3
5311;1;1183;998;593;1076;25;ES;2
5311;2;200;218;1356;1308;25;ES;2
5311;2;589;617;1076;894;25;ES;4
5311;3;314;717;1356;593;25;ES;1
5311;3;706;726;26;912;25;ES;3
5219;1;203;285;848;910;15;ES;2
5219;1;324;1588;419;1385;15;ES;3
5219;1;897;214;687;;26;ES;1
5219;2;421;1280;225;786;26;PP;1
5219;3;130;687;;;26;ES;4
5219;3;556;687;915;924;26;ES;4
5222;1;941;873;977;301;1;ES;3
5222;2;296;249;977;1185;1;ES;2
5222;2;817;873;;;1;ES;4
5227;2;333;280;1566;1174;3;ES;1
5227;2;474;693;1566;663;3;ES;3
5227;3;133;744;948;464;8;ES;3
5227;3;220;1069;1140;600;8;ES;3
5227;3;1179;1971;1009;;3;ES;2
5227;3;1197;693;280;1174;3;PP;3
5207;2;243;947;689;375;10;ES;2
5207;2;570;306;253;1275;0;ES;4
5207;2;621;688;1403;1512;10;ES;2
5207;3;79;109;514;271;0;ES;3
5207;3;539;1018;1171;1498;0;ES;2
5207;3;625;1275;306;1498;0;ES;3
5207;3;645;947;689;529;10;ES;2
5207;3;866;1725;1018;1171;0;ES;2
5247;1;132;845;112;53;20;ES;3
5247;1;145;53;112;699;20;ES;2
5247;1;161;112;53;286;20;ES;3
5247;1;523;845;53;112;20;ES;1
5247;1;1132;730;1075;1852;20;ES;2
5247;2;1072;1073;204;1192;19;ES;3
5247;3;70;845;;;20;ES;4
5251;1;61;369;226;787;9;ES;1
5251;1;230;159;10;289;9;ES;1
5251;1;713;1420;159;691;9;ES;4
5251;2;423;216;12;;18;ES;4
5251;2;827;448;613;1626;18;ES;3
5251;2;1133;289;226;1562;9;ES;2
5251;3;215;613;216;633;18;ES;2
5251;3;462;12;1355;;18;ES;1
5201;1;324;928;143;1078;6;PP;2
5201;1;423;707;666;859;6;SH;4
5201;1;486;666;707;943;6;SH;2
5201;2;359;1078;928;438;6;ES;4
5201;2;402;742;506;1695;31;PP;4
5201;2;428;487;1064;742;31;ES;2
5201;2;494;941;1024;25;6;ES;2
5201;2;955;299;1311;943;6;ES;2
5201;2;1023;941;1024;143;6;ES;2
5206;1;206;1042;338;1179;17;ES;4
5206;1;267;19;305;457;17;ES;3
5206;1;307;433;147;1074;17;ES;2
5206;1;928;1413;1404;1685;7;ES;3
5206;2;126;1050;305;236;17;ES;2
5206;2;383;792;305;1050;17;ES;3
5206;2;397;988;19;338;17;ES;3
5206;2;620;792;;;17;PP;2
5206;3;821;147;1042;457;17;ES;2
5206;3;1050;988;1051;433;17;ES;3
5202;1;383;1078;928;;6;PP;4
5202;2;365;705;964;445;29;PP;4
5202;2;525;302;445;441;29;ES;2
5202;2;536;299;1311;604;6;ES;3
5202;2;815;302;156;445;29;PP;1
5202;2;1163;1210;3;1575;29;ES;3
5202;3;301;1575;1210;17;29;ES;3
5202;3;547;438;291;1078;6;PP;2
5202;3;1187;1078;291;597;6;ES;4
5375;1;41;1036;848;;15;ES;2
5375;3;103;1069;1140;874;8;PP;3
5375;3;755;503;117;744;8;ES;4
5375;3;1056;464;1140;1069;8;ES;3
5314;1;964;297;977;1019;1;ES;1
5314;2;560;216;613;1025;18;PP;3
5314;2;797;430;1019;364;1;ES;2
5314;2;1199;216;613;12;18;ES;2
5314;3;180;448;685;1355;18;ES;3
5314;3;195;977;297;249;1;ES;2
5314;3;1184;430;440;249;1;ES;3
5191;1;210;1340;1194;1304;21;ES;3
5191;1;617;1300;1194;1029;21;ES;2
5191;1;858;1300;;;21;ES;3
5191;2;625;1095;1315;493;21;ES;1
5191;2;880;1299;1300;1233;21;ES;1
5191;3;26;1127;446;1237;21;ES;1
5191;3;451;38;314;667;22;ES;3
5191;3;481;798;493;1315;21;ES;2
5191;3;504;46;38;34;22;ES;1
5191;3;616;1299;798;921;21;PP;1
5191;3;664;857;34;1395;22;PP;4
5233;1;266;693;1174;;3;PP;3
5233;1;1054;617;826;894;25;ES;2
5233;2;69;1971;55;1174;3;ES;1
5233;2;778;872;636;693;3;ES;3
5233;3;451;277;218;593;25;ES;3
5233;3;516;693;663;682;3;ES;4
5233;3;1069;651;810;280;3;ES;2
5196;1;121;70;1455;5;4;ES;3
5196;1;785;1317;971;878;11;ES;4
5196;2;92;1055;115;628;11;PP;1
5196;2;208;914;355;163;11;ES;3
5196;2;439;727;70;1093;4;PP;4
5196;2;989;355;1317;;11;ES;1
5196;2;1199;1317;654;878;11;ES;3
