PlayerId;Year;Team Id;League Id;GP;G;A;PIM;+/-;PP G;PP A;SH G;SH A;GR;GWG;SOG;FO;FO W;HIT;GvA;TkA;SB;TOI;PPTOI;SHTOI;Fights;Fights Won
96;2024;27;0;19;0;5;2;-3;0;1;0;0;66;0;41;0;0;34;10;25;18;21785;336;3159;0;0
97;2024;39;1;8;1;3;0;2;1;0;0;0;59;0;12;4;1;10;2;2;7;3996;758;81;0;0
98;2024;0;0;19;2;11;8;6;0;0;0;0;62;0;61;0;0;27;5;13;23;23192;833;2648;0;0
99;2024;39;1;16;2;6;8;-4;0;1;0;0;68;0;35;216;108;21;7;6;7;14362;390;1199;0;0
103;2024;58;1;15;0;5;4;0;0;0;0;0;63;0;12;66;33;30;5;7;15;13608;245;2712;0;0
105;2024;39;1;7;1;2;0;0;0;0;0;0;57;0;11;9;5;2;2;3;8;4434;574;329;0;0
109;2024;0;0;19;5;2;4;-3;0;0;1;0;59;1;17;123;59;17;3;5;2;12014;80;332;0;0
112;2024;20;0;21;7;11;6;-1;1;1;0;0;70;1;40;11;8;37;13;4;7;20360;752;296;0;0
114;2024;57;1;21;9;7;8;4;0;2;0;0;60;2;38;17;7;15;6;3;11;17770;983;0;0;0
115;2024;11;0;20;5;15;10;-8;0;7;0;0;74;0;45;16;11;23;11;9;1;16840;3996;15;0;0
116;2024;59;1;4;0;0;0;-3;0;0;0;0;49;0;1;8;5;1;1;0;2;1755;221;92;0;0
117;2024;8;0;20;1;7;2;-1;0;1;0;0;65;0;54;0;0;26;2;19;35;22094;3000;2748;0;0
118;2024;9;0;22;0;2;2;-3;0;0;0;0;57;0;11;103;55;14;7;11;1;11009;0;1348;0;0
119;2024;7;0;20;9;7;8;-3;1;1;0;0;68;1;46;254;130;26;24;14;7;19447;3016;895;0;0
123;2024;10;0;19;1;8;2;0;1;0;0;1;66;0;29;0;0;20;6;14;44;19238;128;2998;0;0
124;2024;17;0;21;4;5;0;-1;0;0;0;0;59;0;33;6;3;19;8;6;2;15064;21;136;0;0
